"HS_ID","ID","PF","LOG10K"
11,"44","2.265","-1.84"
11,"44","2.296","-1.88"
11,"44","2.323","-1.92"
11,"44","2.349","-1.96"
11,"44","2.374","-2"
11,"44","2.399","-2.04"
11,"44","2.423","-2.09"
11,"44","2.445","-2.14"
11,"44","2.464","-2.2"
11,"44","2.482","-2.27"
11,"44","2.502","-2.35"
11,"44","2.522","-2.44"
11,"44","2.539","-2.53"
11,"44","2.557","-2.61"
11,"44","2.577","-2.66"
11,"44","2.596","-2.71"
11,"44","2.617","-2.76"
11,"44","2.64","-2.8"
11,"44","2.665","-2.85"
11,"44","2.687","-2.89"
11,"44","2.706","-2.92"
11,"44","2.725","-2.96"
11,"44","2.012","-1.06"
11,"63","1.851","-.4"
11,"63","3.637","-4.5"
11,"63","1.953","-.81"
11,"63","2.002","-1.01"
11,"63","2.049","-1.2"
11,"63","2.094","-1.35"
11,"63","2.136","-1.48"
11,"63","2.176","-1.6"
11,"63","2.214","-1.7"
11,"63","2.249","-1.81"
11,"63","2.284","-1.91"
11,"63","2.317","-2"
11,"63","2.348","-2.09"
11,"63","2.376","-2.19"
11,"63","2.4","-2.31"
11,"63","2.427","-2.38"
11,"63","2.456","-2.43"
11,"63","2.49","-2.51"
11,"63","2.521","-2.61"
11,"63","2.548","-2.72"
11,"63","2.576","-2.76"
11,"63","2.602","-2.8"
11,"63","2.628","-2.84"
11,"63","2.651","-2.88"
11,"63","2.673","-2.92"
11,"63","2.695","-2.95"
11,"63","2.715","-2.99"
11,"63","2.736","-3.02"
11,"63","2.755","-3.05"
11,"63","2.774","-3.09"
11,"63","2.791","-3.12"
11,"63","2.809","-3.15"
11,"63","2.826","-3.18"
11,"63","2.843","-3.21"
11,"63","2.859","-3.24"
11,"63","2.875","-3.28"
11,"63","2.892","-3.31"
11,"63","2.908","-3.34"
11,"63","2.925","-3.37"
11,"63","2.941","-3.4"
11,"63","2.958","-3.43"
11,"63","2.974","-3.46"
11,"63","2.99","-3.49"
11,"63","3.007","-3.53"
11,"63","3.022","-3.56"
11,"63","1.902","-.6"
12,"103","1.838","-.45"
12,"103","3.2","-4.79"
12,"103","1.935","-.87"
12,"103","1.972","-1"
12,"103","2.002","-1.1"
12,"103","2.027","-1.2"
12,"103","2.049","-1.29"
12,"103","2.068","-1.39"
12,"103","2.083","-1.51"
12,"103","2.096","-1.66"
12,"103","2.111","-1.75"
12,"103","2.129","-1.82"
12,"103","2.148","-1.92"
12,"103","2.164","-2.06"
12,"103","2.179","-2.13"
12,"103","2.194","-2.17"
12,"103","2.208","-2.21"
12,"103","2.221","-2.25"
12,"103","2.235","-2.29"
12,"103","2.247","-2.33"
12,"103","2.26","-2.37"
12,"103","2.272","-2.41"
12,"103","2.284","-2.44"
12,"103","2.295","-2.48"
12,"103","2.307","-2.51"
12,"103","2.318","-2.55"
12,"103","2.329","-2.59"
12,"103","2.34","-2.62"
12,"103","2.352","-2.66"
12,"103","2.363","-2.7"
12,"103","2.375","-2.73"
12,"103","2.387","-2.77"
12,"103","2.399","-2.81"
12,"103","2.412","-2.85"
12,"103","2.424","-2.89"
12,"103","2.437","-2.92"
12,"103","2.449","-2.96"
12,"103","2.461","-3"
12,"103","2.475","-3.04"
12,"103","2.489","-3.08"
12,"103","2.504","-3.13"
12,"103","2.52","-3.2"
12,"103","2.536","-3.26"
12,"103","2.552","-3.31"
12,"103","2.566","-3.35"
12,"103","2.582","-3.39"
12,"103","2.599","-3.42"
12,"103","1.889","-.68"
12,"29","1.89","-.64"
12,"29","2.227","-2.03"
12,"29","1.999","-1.11"
12,"29","2.042","-1.24"
12,"29","2.075","-1.33"
12,"29","2.101","-1.4"
12,"29","2.125","-1.47"
12,"29","2.146","-1.55"
12,"29","2.164","-1.62"
12,"29","2.179","-1.7"
12,"29","2.242","-2.12"
12,"29","2.257","-2.18"
12,"29","2.272","-2.24"
12,"29","2.29","-2.3"
12,"29","2.31","-2.35"
12,"29","2.329","-2.41"
12,"29","2.345","-2.46"
12,"29","2.36","-2.51"
12,"29","2.376","-2.56"
12,"29","2.389","-2.61"
12,"29","2.402","-2.66"
12,"29","2.419","-2.74"
12,"29","2.437","-2.8"
12,"29","2.458","-2.86"
12,"29","2.483","-2.97"
12,"29","2.51","-3.07"
12,"29","2.537","-3.16"
12,"29","2.566","-3.25"
12,"29","2.596","-3.33"
12,"29","2.63","-3.42"
12,"29","2.67","-3.51"
12,"29","2.734","-3.64"
12,"29","3.188","-4.62"
12,"29","2.196","-1.79"
12,"29","2.212","-1.9"
12,"29","1.946","-.9"
12,"31","2.238","-2.17"
12,"31","2.254","-2.23"
12,"31","2.27","-2.28"
12,"31","2.286","-2.33"
12,"31","2.301","-2.37"
12,"31","2.316","-2.43"
12,"31","2.33","-2.5"
12,"31","2.344","-2.53"
12,"31","2.357","-2.56"
